strategyA,strategyB,games,wins_A,wins_B,draws,winRate_A,winRate_B,drawRate
default,default,50,21,22,7,0.42,0.44,0.14
default,rush,50,0,50,0,0,1,0
default,turtle,50,11,23,16,0.22,0.46,0.32
default,monoViolet,50,0,50,0,0,1,0
default,monoYellow,50,0,50,0,0,1,0
default,monoRed,50,2,46,2,0.04,0.92,0.04
default,monoGreen,50,0,50,0,0,1,0
default,monoOrange,50,0,50,0,0,1,0
default,monoImp,50,0,50,0,0,1,0
default,monoRunner,50,5,43,2,0.1,0.86,0.04
default,monoBrute,50,50,0,0,1,0,0
default,monoWisp,50,50,0,0,1,0,0
default,monoTank,50,50,0,0,1,0,0
rush,default,50,50,0,0,1,0,0
rush,rush,50,0,0,50,0,0,1
rush,turtle,50,50,0,0,1,0,0
rush,monoViolet,50,0,50,0,0,1,0
rush,monoYellow,50,50,0,0,1,0,0
rush,monoRed,50,50,0,0,1,0,0
rush,monoGreen,50,0,50,0,0,1,0
rush,monoOrange,50,0,50,0,0,1,0
rush,monoImp,50,50,0,0,1,0,0
rush,monoRunner,50,50,0,0,1,0,0
rush,monoBrute,50,50,0,0,1,0,0
rush,monoWisp,50,50,0,0,1,0,0
rush,monoTank,50,50,0,0,1,0,0
turtle,default,50,15,15,20,0.3,0.3,0.4
turtle,rush,50,0,50,0,0,1,0
turtle,turtle,50,0,0,50,0,0,1
turtle,monoViolet,50,0,27,23,0,0.54,0.46
turtle,monoYellow,50,0,50,0,0,1,0
turtle,monoRed,50,3,10,37,0.06,0.2,0.74
turtle,monoGreen,50,0,0,50,0,0,1
turtle,monoOrange,50,0,50,0,0,1,0
turtle,monoImp,50,0,50,0,0,1,0
turtle,monoRunner,50,2,18,30,0.04,0.36,0.6
turtle,monoBrute,50,28,5,17,0.56,0.1,0.34
turtle,monoWisp,50,49,0,1,0.98,0,0.02
turtle,monoTank,50,50,0,0,1,0,0
monoViolet,default,50,50,0,0,1,0,0
monoViolet,rush,50,50,0,0,1,0,0
monoViolet,turtle,50,29,0,21,0.58,0,0.42
monoViolet,monoViolet,50,11,36,3,0.22,0.72,0.06
monoViolet,monoYellow,50,50,0,0,1,0,0
monoViolet,monoRed,50,50,0,0,1,0,0
monoViolet,monoGreen,50,0,50,0,0,1,0
monoViolet,monoOrange,50,50,0,0,1,0,0
monoViolet,monoImp,50,50,0,0,1,0,0
monoViolet,monoRunner,50,50,0,0,1,0,0
monoViolet,monoBrute,50,50,0,0,1,0,0
monoViolet,monoWisp,50,50,0,0,1,0,0
monoViolet,monoTank,50,50,0,0,1,0,0
monoYellow,default,50,50,0,0,1,0,0
monoYellow,rush,50,0,50,0,0,1,0
monoYellow,turtle,50,50,0,0,1,0,0
monoYellow,monoViolet,50,0,50,0,0,1,0
monoYellow,monoYellow,50,22,23,5,0.44,0.46,0.1
monoYellow,monoRed,50,50,0,0,1,0,0
monoYellow,monoGreen,50,0,50,0,0,1,0
monoYellow,monoOrange,50,0,50,0,0,1,0
monoYellow,monoImp,50,0,50,0,0,1,0
monoYellow,monoRunner,50,50,0,0,1,0,0
monoYellow,monoBrute,50,50,0,0,1,0,0
monoYellow,monoWisp,50,50,0,0,1,0,0
monoYellow,monoTank,50,50,0,0,1,0,0
monoRed,default,50,47,1,2,0.94,0.02,0.04
monoRed,rush,50,0,50,0,0,1,0
monoRed,turtle,50,10,4,36,0.2,0.08,0.72
monoRed,monoViolet,50,0,50,0,0,1,0
monoRed,monoYellow,50,0,50,0,0,1,0
monoRed,monoRed,50,22,15,13,0.44,0.3,0.26
monoRed,monoGreen,50,0,50,0,0,1,0
monoRed,monoOrange,50,0,50,0,0,1,0
monoRed,monoImp,50,0,50,0,0,1,0
monoRed,monoRunner,50,22,25,3,0.44,0.5,0.06
monoRed,monoBrute,50,19,29,2,0.38,0.58,0.04
monoRed,monoWisp,50,45,3,2,0.9,0.06,0.04
monoRed,monoTank,50,50,0,0,1,0,0
monoGreen,default,50,50,0,0,1,0,0
monoGreen,rush,50,50,0,0,1,0,0
monoGreen,turtle,50,0,0,50,0,0,1
monoGreen,monoViolet,50,50,0,0,1,0,0
monoGreen,monoYellow,50,50,0,0,1,0,0
monoGreen,monoRed,50,50,0,0,1,0,0
monoGreen,monoGreen,50,0,0,50,0,0,1
monoGreen,monoOrange,50,0,50,0,0,1,0
monoGreen,monoImp,50,50,0,0,1,0,0
monoGreen,monoRunner,50,50,0,0,1,0,0
monoGreen,monoBrute,50,50,0,0,1,0,0
monoGreen,monoWisp,50,50,0,0,1,0,0
monoGreen,monoTank,50,50,0,0,1,0,0
monoOrange,default,50,50,0,0,1,0,0
monoOrange,rush,50,50,0,0,1,0,0
monoOrange,turtle,50,50,0,0,1,0,0
monoOrange,monoViolet,50,0,50,0,0,1,0
monoOrange,monoYellow,50,50,0,0,1,0,0
monoOrange,monoRed,50,50,0,0,1,0,0
monoOrange,monoGreen,50,50,0,0,1,0,0
monoOrange,monoOrange,50,13,9,28,0.26,0.18,0.56
monoOrange,monoImp,50,50,0,0,1,0,0
monoOrange,monoRunner,50,50,0,0,1,0,0
monoOrange,monoBrute,50,50,0,0,1,0,0
monoOrange,monoWisp,50,50,0,0,1,0,0
monoOrange,monoTank,50,50,0,0,1,0,0
monoImp,default,50,50,0,0,1,0,0
monoImp,rush,50,0,50,0,0,1,0
monoImp,turtle,50,50,0,0,1,0,0
monoImp,monoViolet,50,0,50,0,0,1,0
monoImp,monoYellow,50,50,0,0,1,0,0
monoImp,monoRed,50,50,0,0,1,0,0
monoImp,monoGreen,50,0,50,0,0,1,0
monoImp,monoOrange,50,0,50,0,0,1,0
monoImp,monoImp,50,19,21,10,0.38,0.42,0.2
monoImp,monoRunner,50,50,0,0,1,0,0
monoImp,monoBrute,50,50,0,0,1,0,0
monoImp,monoWisp,50,50,0,0,1,0,0
monoImp,monoTank,50,50,0,0,1,0,0
monoRunner,default,50,40,6,4,0.8,0.12,0.08
monoRunner,rush,50,0,50,0,0,1,0
monoRunner,turtle,50,28,4,18,0.56,0.08,0.36
monoRunner,monoViolet,50,0,50,0,0,1,0
monoRunner,monoYellow,50,0,50,0,0,1,0
monoRunner,monoRed,50,32,14,4,0.64,0.28,0.08
monoRunner,monoGreen,50,0,50,0,0,1,0
monoRunner,monoOrange,50,0,50,0,0,1,0
monoRunner,monoImp,50,0,50,0,0,1,0
