strategy,games,wins,losses,draws,winRate,asA_games,asA_winRate,asB_games,asB_winRate
default,1300,383,857,60,0.2946,650,0.2908,650,0.2985
monoBrute,1300,282,885,133,0.2169,650,0.2277,650,0.2062
monoGreen,1300,1000,100,200,0.7692,650,0.7692,650,0.7692
monoImp,1300,840,440,20,0.6462,650,0.6446,650,0.6477
monoOrange,1300,1122,122,56,0.8631,650,0.8662,650,0.86
monoRed,1300,398,783,119,0.3062,650,0.3308,650,0.2815
monoRunner,1300,488,655,157,0.3754,650,0.3862,650,0.3646
monoTank,1300,0,1200,100,0,650,0,650,0
monoViolet,1300,1103,147,50,0.8485,650,0.8308,650,0.8662
monoWisp,1300,109,1081,110,0.0838,650,0.0862,650,0.0815
monoYellow,1300,745,545,10,0.5731,650,0.5723,650,0.5738
rush,1300,900,300,100,0.6923,650,0.6923,650,0.6923
turtle,1300,305,560,435,0.2346,650,0.2262,650,0.2431
