strategyA,strategyB,games,wins_A,wins_B,draws,winRate_A,winRate_B,drawRate
monoBlue,monoBlue,77,36,19,22,0.4675,0.2468,0.2857
monoBlue,monoViolet,77,0,77,0,0,1,0
monoBlue,monoGreen,77,77,0,0,1,0,0
monoBlue,rush,77,15,52,10,0.1948,0.6753,0.1299
monoBlue,monoYellow,77,72,0,5,0.9351,0,0.0649
monoBlue,monoImp,77,44,21,12,0.5714,0.2727,0.1558
monoBlue,monoRunner,77,77,0,0,1,0,0
monoBlue,default,77,77,0,0,1,0,0
monoBlue,monoRed,77,77,0,0,1,0,0
monoBlue,turtle,77,77,0,0,1,0,0
monoBlue,monoBrute,77,77,0,0,1,0,0
monoBlue,monoWisp,77,77,0,0,1,0,0
monoBlue,monoTank,77,77,0,0,1,0,0
monoViolet,monoBlue,77,77,0,0,1,0,0
monoViolet,monoViolet,77,19,45,13,0.2468,0.5844,0.1688
monoViolet,monoGreen,77,50,0,27,0.6494,0,0.3506
monoViolet,rush,77,77,0,0,1,0,0
monoViolet,monoYellow,77,0,77,0,0,1,0
monoViolet,monoImp,77,77,0,0,1,0,0
monoViolet,monoRunner,77,77,0,0,1,0,0
monoViolet,default,77,77,0,0,1,0,0
monoViolet,monoRed,77,77,0,0,1,0,0
monoViolet,turtle,77,11,0,66,0.1429,0,0.8571
monoViolet,monoBrute,77,77,0,0,1,0,0
monoViolet,monoWisp,77,77,0,0,1,0,0
monoViolet,monoTank,77,77,0,0,1,0,0
monoGreen,monoBlue,77,0,77,0,0,1,0
monoGreen,monoViolet,77,0,56,21,0,0.7273,0.2727
monoGreen,monoGreen,77,0,0,77,0,0,1
monoGreen,rush,77,77,0,0,1,0,0
monoGreen,monoYellow,77,0,72,5,0,0.9351,0.0649
monoGreen,monoImp,77,77,0,0,1,0,0
monoGreen,monoRunner,77,77,0,0,1,0,0
monoGreen,default,77,77,0,0,1,0,0
monoGreen,monoRed,77,16,13,48,0.2078,0.1688,0.6234
monoGreen,turtle,77,0,0,77,0,0,1
monoGreen,monoBrute,77,77,0,0,1,0,0
monoGreen,monoWisp,77,77,0,0,1,0,0
monoGreen,monoTank,77,77,0,0,1,0,0
rush,monoBlue,77,58,11,8,0.7532,0.1429,0.1039
rush,monoViolet,77,0,77,0,0,1,0
rush,monoGreen,77,0,77,0,0,1,0
rush,rush,77,0,0,77,0,0,1
rush,monoYellow,77,0,77,0,0,1,0
rush,monoImp,77,76,1,0,0.987,0.013,0
rush,monoRunner,77,77,0,0,1,0,0
rush,default,77,77,0,0,1,0,0
rush,monoRed,77,77,0,0,1,0,0
rush,turtle,77,77,0,0,1,0,0
rush,monoBrute,77,77,0,0,1,0,0
rush,monoWisp,77,77,0,0,1,0,0
rush,monoTank,77,77,0,0,1,0,0
monoYellow,monoBlue,77,0,71,6,0,0.9221,0.0779
monoYellow,monoViolet,77,76,0,1,0.987,0,0.013
monoYellow,monoGreen,77,67,0,10,0.8701,0,0.1299
monoYellow,rush,77,77,0,0,1,0,0
monoYellow,monoYellow,77,30,29,18,0.3896,0.3766,0.2338
monoYellow,monoImp,77,77,0,0,1,0,0
monoYellow,monoRunner,77,77,0,0,1,0,0
monoYellow,default,77,77,0,0,1,0,0
monoYellow,monoRed,77,77,0,0,1,0,0
monoYellow,turtle,77,69,0,8,0.8961,0,0.1039
monoYellow,monoBrute,77,77,0,0,1,0,0
monoYellow,monoWisp,77,77,0,0,1,0,0
monoYellow,monoTank,77,77,0,0,1,0,0
monoImp,monoBlue,77,26,38,13,0.3377,0.4935,0.1688
monoImp,monoViolet,77,0,77,0,0,1,0
monoImp,monoGreen,77,0,77,0,0,1,0
monoImp,rush,77,0,77,0,0,1,0
monoImp,monoYellow,77,0,77,0,0,1,0
monoImp,monoImp,77,19,47,11,0.2468,0.6104,0.1429
monoImp,monoRunner,77,77,0,0,1,0,0
monoImp,default,77,77,0,0,1,0,0
monoImp,monoRed,77,77,0,0,1,0,0
monoImp,turtle,77,77,0,0,1,0,0
monoImp,monoBrute,77,77,0,0,1,0,0
monoImp,monoWisp,77,77,0,0,1,0,0
monoImp,monoTank,77,77,0,0,1,0,0
monoRunner,monoBlue,77,0,77,0,0,1,0
monoRunner,monoViolet,77,0,77,0,0,1,0
monoRunner,monoGreen,77,0,77,0,0,1,0
monoRunner,rush,77,0,77,0,0,1,0
monoRunner,monoYellow,77,0,77,0,0,1,0
monoRunner,monoImp,77,0,77,0,0,1,0
monoRunner,monoRunner,77,12,14,51,0.1558,0.1818,0.6623
monoRunner,default,77,34,31,12,0.4416,0.4026,0.1558
monoRunner,monoRed,77,32,41,4,0.4156,0.5325,0.0519
monoRunner,turtle,77,28,6,43,0.3636,0.0779,0.5584
monoRunner,monoBrute,77,77,0,0,1,0,0
monoRunner,monoWisp,77,77,0,0,1,0,0
monoRunner,monoTank,77,77,0,0,1,0,0
default,monoBlue,77,0,77,0,0,1,0
default,monoViolet,77,0,77,0,0,1,0
default,monoGreen,77,0,77,0,0,1,0
default,rush,77,0,77,0,0,1,0
default,monoYellow,77,0,77,0,0,1,0
default,monoImp,77,0,77,0,0,1,0
default,monoRunner,77,26,42,9,0.3377,0.5455,0.1169
default,default,77,42,29,6,0.5455,0.3766,0.0779
default,monoRed,77,1,76,0,0.013,0.987,0
default,turtle,77,18,33,26,0.2338,0.4286,0.3377
default,monoBrute,77,67,1,9,0.8701,0.013,0.1169
default,monoWisp,77,77,0,0,1,0,0
default,monoTank,77,77,0,0,1,0,0
monoRed,monoBlue,77,0,77,0,0,1,0
monoRed,monoViolet,77,0,77,0,0,1,0
monoRed,monoGreen,77,7,21,49,0.0909,0.2727,0.6364
monoRed,rush,77,0,77,0,0,1,0
monoRed,monoYellow,77,0,75,2,0,0.974,0.026
monoRed,monoImp,77,0,77,0,0,1,0
