strategy,games,wins,losses,draws,winRate,asA_games,asA_winRate,asB_games,asB_winRate
default,1300,412,829,59,0.3169,650,0.3262,650,0.3077
monoBrute,1300,405,780,115,0.3115,650,0.3154,650,0.3077
monoGreen,1300,998,100,202,0.7677,650,0.7677,650,0.7677
monoImp,1300,765,510,25,0.5885,650,0.5831,650,0.5938
monoOrange,1300,1105,149,46,0.85,650,0.8462,650,0.8538
monoRed,1300,315,864,121,0.2423,650,0.2446,650,0.24
monoRunner,1300,427,714,159,0.3285,650,0.3308,650,0.3262
monoTank,1300,6,1189,105,0.0046,650,0.0062,650,0.0031
monoViolet,1300,1090,146,64,0.8385,650,0.8246,650,0.8523
monoWisp,1300,188,958,154,0.1446,650,0.1354,650,0.1538
monoYellow,1300,847,440,13,0.6515,650,0.6308,650,0.6723
rush,1300,873,323,104,0.6715,650,0.6662,650,0.6769
turtle,1300,207,636,457,0.1592,650,0.1615,650,0.1569
